"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","PE-A","Time"
123879,126019,196047,121003,105045,163818,7119.67,0.00534125
86248.3,90939.9,176747,84532.6,76534.1,152375,7851.69,0.0100827
138297,130239,199429,139649,110869,170087,57941.7,0.0114788
162584,151030,208100,136893,111160,169773,32607.5,0.0166874
86268.5,90942.3,170652,79438.9,69915,158887,4052.56,0.0186928
73606.9,80563.2,168700,77772.6,76651.5,142836,4541.45,0.019726
134402,130871,200718,117159,103866,161925,32068.3,0.0209391
106047,115984,192539,95681.2,91049.4,152857,8253.49,0.022197
109523,108900,193964,77980.4,70231.4,152383,9812.64,0.0238471
70233.7,74241.8,159645,71998.2,69127.6,149671,618.645,0.0245631
111545,102379,192963,108399,95551.1,163051,2268.43,0.0265693
164906,133725,227875,131298,95726.2,175905,7867.81,0.0321754
111525,112409,183925,80984.7,70839.9,150739,30451.3,0.0336452
174911,144715,222842,161339,105998,190652,4274.37,0.0386774
77249.7,81970.1,175545,68631.1,69383.4,144505,2826.43,0.0413537
137708,128339,215434,132025,95102.8,177515,8228.21,0.0413829
172226,146403,223223,148758,109743,176460,23598.1,0.0447069
107203,107829,189165,80502.9,67415.1,152034,13565.3,0.0493164
106105,103036,191968,100167,88120,157417,3921.35,0.0538026
132529,119308,203027,129659,95195.9,172702,4279.11,0.054232
142628,127627,212686,111539,83562.7,169536,11122.9,0.0613713
116680,106967,193375,112477,92253.6,164892,8002.32,0.0635303
121648,114737,193508,101052,86257.6,163201,9186.71,0.0655679
95676.7,91716.1,179896,118606,106138,165887,5707.39,0.0675928
110620,108181,196533,116944,98205.1,166376,16506.6,0.0682441
132566,135276,204195,115598,105973,156252,18684.9,0.0792746
82880.2,95205.3,176357,65705.9,67985.7,141266,806.38,0.0809961
108952,109271,192332,85474.8,75461.1,156101,6663.81,0.0883997
98559.9,100664,189362,102165,93625.3,152880,13602.2,0.0898101
107220,115852,190166,99123.9,88675,154738,3283.21,0.10342
122182,111667,200457,101842,76600.8,160156,21327.3,0.121899
144976,134460,206566,135965,108649,172921,422.375,0.122118
99448.2,95318.8,186045,152177,127464,169474,1286.86,0.123252
111595,108430,194659,96568.3,81300.4,162127,9919.23,0.133634
92866,104744,183503,69868.9,70746.1,143944,2771.41,0.149468
110342,98738.4,199500,92420.8,78424.5,154579,8184.51,0.154092
86016.6,83994.6,184455,87104.1,74400.9,154755,7085.47,0.165858
140655,122227,220815,144670,111710,172651,4685.91,0.175594
164957,134718,216517,174168,126206,183155,1448.93,0.184475
116406,119685,187077,80230.8,71391.8,145018,3011.13,0.186174
124737,109939,199727,106488,80756.9,168893,18750.3,0.192893
83644.5,94205.7,163654,80933.3,79903.3,144671,1396.45,0.194007
108073,96551.6,179544,110892,94171.2,161693,10105.7,0.194426
78744.7,80068.1,172469,53368.1,51243.6,135667,3268.55,0.197214
108799,108392,191953,91677.6,81637.1,159300,3375.81,0.199809
95448.2,107006,179391,87169.9,84059.1,150833,4834.24,0.206433
139492,116138,197329,180241,139300,178528,73479.9,0.214748
124006,116033,197393,144737,112477,174803,1294.65,0.215319
124296,114580,197203,105255,88734.7,164484,27513.8,0.216925
90062.6,99522.2,176066,81569.7,77297.9,147891,12474.7,0.222174
97190.3,98681.5,170813,87911.7,82576,153121,6730.41,0.227524
124612,125800,193749,111473,96368.8,159840,6378.64,0.238115
90680.4,92373.1,180140,63105.1,59187.9,140899,2039.17,0.239928
142400,128098,215624,144198,112186,172437,16531,0.241575
169593,132568,222809,162336,117297,186585,10145.2,0.244652
71421.6,70273.3,163381,75258.7,64475.4,158599,22027.9,0.250282
151779,142982,210663,124243,99189.6,165803,6769.19,0.256623
109419,111983,186394,104282,88516.5,158670,13188.6,0.257965
110472,109184,198892,100451,77720.4,162237,199.796,0.259281
109331,102400,188672,114707,89119.4,168847,2000.39,0.266804
117004,113120,193482,122139,106186,161823,4941.04,0.267215
101162,100820,190236,78820.2,65226.8,156548,31025.2,0.269001
106328,107437,189591,99605.4,85785,159658,2973.22,0.272881
127582,107316,212716,105468,79378.2,165429,5731.55,0.276664
159744,127776,216763,119021,84977.7,169808,62862.7,0.309812
98108.3,101356,189361,61614.2,54477.2,145791,4258.21,0.31395
137439,141518,204570,118180,105538,160403,4941.25,0.325431
