"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","SELE","Time"
69850.5,73514.1,162436,62673.5,63322,140983,20.2687,0.0176839
99104.6,94748.2,182513,97202,84273.1,159955,19.8546,0.0412712
149404,133426,208034,125285,104306,164845,66.5131,0.0460038
99148.5,98464.9,186261,75068.6,69984.7,149503,31.0981,0.0636659
138289,124345,204276,125970,101081,169310,52.8151,0.0663122
96673.1,89052.8,183183,100744,82078.7,164321,34.7232,0.0757204
136591,124408,214468,108655,74219,167700,52.4219,0.0777537
166459,149223,220007,117727,86630.6,169972,17.8807,0.0910819
141255,123756,216803,121891,94598.1,166413,54.5627,0.0983977
103015,90567.6,189395,102637,79683.7,159891,50.615,0.117075
115967,110617,196224,109590,96053.2,162631,27.1696,0.132513
137707,128035,211527,117825,98414.2,166285,62.766,0.15538
95504,92652.1,179988,73678.4,69235.5,147811,4.93673,0.163539
107444,103993,194003,78572.4,69343.6,151090,3.37483,0.181997
160756,140081,217910,144313,111409,174715,18.752,0.185596
114742,112857,182618,123465,112212,161359,964.415,0.187413
147987,123715,216493,143745,98410.2,179358,36.7102,0.228266
125511,118714,200362,131792,108074,165320,13.182,0.231643
110662,113715,186286,103111,100585,152613,42.0899,0.269
102935,94173.1,181644,96376.3,85005.1,155708,107.807,0.279292
124980,118383,199627,136750,111142,168842,0.0885177,0.290874
74298.8,81445,162745,74991.5,75231.9,142594,22.8059,0.292748
150653,119521,227653,128060,91050.9,172617,32.2255,0.297269
140068,135545,213752,117272,95398.8,162940,34.5343,0.300758
150384,121126,222299,138979,102370,179457,65.7727,0.309638
98432.7,99602.6,187044,110813,105765,157883,16.051,0.314436
127115,118654,202777,140139,117586,166216,26.0522,0.314779
96816.8,97635,179693,76454.6,69106.9,145154,22.9909,0.332304
101825,90819.5,189326,138618,113362,169107,200.806,0.350135
169293,146387,222835,146950,109290,177441,85.544,0.380816
134911,138242,200256,111547,96883.2,156048,2.57346,0.3885
107864,106704,192630,79405.6,68907.4,151769,26.6572,0.397071
101899,96234.3,192738,72621.8,61990.8,155904,9.20058,0.399296
72250.1,76085.5,164482,70738.4,67207.9,144551,18.2474,0.417889
119657,110243,204243,115172,102285,160257,68.516,0.458521
90219.4,92172.3,177277,83930.2,81849.5,146151,7.31111,0.467608
119983,119651,195404,105344,97045.1,154713,114.268,0.474481
96404.7,101278,179680,89540,84101.4,152899,11.0518,0.514108
141946,122456,218208,122828,91318.9,168391,55.3925,0.527826
150337,123903,218615,140292,107441,175652,72.3013,0.531497
156042,124319,215456,159916,108653,179878,25.4479,0.540372
102302,104544,181620,98901.4,91109.8,155767,6.14493,0.55024
92278.5,88775.1,176977,73224.3,62692.9,151904,21.2822,0.564562
119533,122108,193553,130614,111471,158570,32.1315,0.571443
146659,133939,218540,105909,90237.4,159618,32.743,0.590179
112374,112312,198185,130799,113417,165110,6.23454,0.600019
142769,135573,202455,137044,114360,168426,49.9363,0.615254
79529.1,85995.7,179812,89501.2,86575.7,150867,29.5983,0.629518
90278.5,95947,169773,87149.8,82305,149731,20.4989,0.644607
93502.9,96015,175063,94279.8,84364.8,151347,12.3198,0.646715
113911,108121,196650,152538,127307,170104,82.8989,0.654258
79777.7,86844.9,167918,85064.5,77554.1,152450,-7.20614,0.658113
119125,125873,196040,111758,108347,155983,32.4607,0.674338
114707,103179,190543,124643,99870.4,169003,11.9119,0.679075
118935,113962,199123,114247,98614.1,162191,16.8736,0.685101
170277,146776,220061,99178.6,82393.9,162088,95.8044,0.686275
119320,116682,196013,116161,91750.8,162769,33.638,0.694211
62870.6,69020.5,151914,115623,112746,155606,34.3455,0.695422
141388,125989,210470,111288,93479,164594,41.3252,0.700089
143655,123187,212907,121850,96427.9,167390,51.8974,0.709983
99222.2,101340,186810,122083,108324,159643,54.6063,0.714413
95420.3,94454.1,183477,87312.6,83129,151494,24.705,0.717994
67853.2,68705.5,157867,53731.2,53341.6,135412,18.7061,0.718789
104069,96928.8,186323,130318,106049,171998,62.0249,0.722474
129640,125183,203202,123790,112827,158835,-9.872,0.727061
142235,129753,211492,101189,75409,165945,21.4666,0.735221
114019,110229,195710,91443,77038.1,152816,14.3642,0.758212
71680.9,80370.6,163836,65317.3,66331.6,146924,8.38996,0.758881
108770,104564,188425,86987.4,73897.3,155699,25.2156,0.78008
136168,131639,202732,105065,90092.4,158638,31.8965,0.793134
128447,116159,210814,95886.7,75639.3,160328,62.8532,0.819987
145469,130417,210083,110107,87301,163043,65.4678,0.841393
72284.1,81666.4,164623,60542.8,60291,139012,19.2571,0.882688
104505,103805,186600,102999,89565,158576,15.8684,0.892256
110144,102803,197031,92408.9,75397.6,162109,51.198,0.896043
82889.7,87952.9,165483,74014.6,72635.7,145597,18.064,0.903598
128803,123158,206011,96194.4,84515.7,158695,171.056,0.922152
158690,125620,231699,151620,114684,181284,50.6734,0.951698
105255,111666,182371,85442.2,78122.8,152730,17.9724,0.977949
117772,104033,205844,98023.6,80134.1,161532,58.8409,0.997199
66999.1,73933.5,163344,69862.3,68658.3,144559,6.23454,1.01731
115250,114931,191564,128685,110827,162418,85.1972,1.0213
