"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","PE-A","Time"
102673,93583.6,182644,76264.5,64591.1,151694,30708.3,0.00220258
96636.9,88579,175987,121987,106054,157806,40082.2,0.00596272
119611,106194,186194,113430,91709.4,160490,46399.1,0.00636516
96821.5,95010.4,169269,97191.2,83781.5,152384,25726.2,0.00812239
88966.9,90128.5,169589,79708.9,71698.5,144493,12779.1,0.0100307
105206,99315.1,175281,98559.2,83364.3,157703,17012.4,0.0102958
78135.5,74131.2,161722,117213,105889,155968,28939.5,0.0117727
157260,132396,215463,131911,100213,170150,3205.25,0.0167382
125710,114275,195989,125003,100285,165166,21149.7,0.019511
97395.7,92869.9,173343,67838.1,55358.1,147647,36861.6,0.0207749
86090.4,82322.3,169551,129727,118689,157714,29048.4,0.0234467
95280.5,98304.2,176340,79637.7,75267.9,147550,40552.3,0.0262189
106402,101738,181840,91974.3,78109.2,155663,28431.5,0.0288502
90586.4,87969.7,170093,103901,93282.6,151747,36308.3,0.0293771
106554,97130.4,176468,106013,83597.9,159910,16274.6,0.0321947
88055.6,92357.1,164917,86038.5,84483.8,146038,44074.8,0.0384437
105939,103630,182905,81266.3,67428.5,151882,33427.9,0.0391092
82173.5,83886,162666,63808.8,60189,136547,10662.8,0.0478241
123507,117725,183597,123308,106021,161935,51952.2,0.0480324
89583.9,85998.2,169140,67901.7,58259.5,149558,21191.7,0.0494878
106077,95825.9,176020,135514,110337,165364,28423.1,0.0525064
104074,106115,173018,73698.8,67958.8,145844,6833.69,0.0565348
112759,112408,178606,75033.2,63639.6,148170,23548.3,0.0577651
95370.5,88669.1,181455,81273.8,69212.1,154928,20186.6,0.0679652
119811,117654,190151,93879.4,81168.6,154490,23613.3,0.0699901
97942.3,101432,171461,77438.2,67976.9,148524,26543.4,0.0721963
99719,96943.4,179529,81877.6,73824.1,150310,9164.15,0.0790075
92036.1,87061.3,179880,92504.9,84153.3,152011,25576.9,0.0927774
118683,107081,193574,97845.1,76503.5,155104,38892.8,0.0989984
83646.1,86121.2,165848,58948.1,55058.6,141016,14966.7,0.0993712
88418,89155.1,165641,92933.2,88101,147734,13963.7,0.10258
103064,102335,177111,113266,100865,154366,54083.2,0.103926
83656.4,82757.4,161813,89926,81856.9,148188,27233.3,0.10471
129578,118732,195830,115540,97250.4,158665,44471.6,0.109321
105630,89473.8,182194,88070.8,75603.5,155946,15206.9,0.111864
113490,108685,186887,93537.1,80023.5,152493,15064.6,0.112165
139348,121625,201643,106982,83847.6,160044,14420.9,0.119036
88207.6,90777.6,169049,77485.2,71450.3,146277,8270.89,0.119505
81032.7,81786.3,166370,53582.2,49188.4,134801,22045.6,0.122798
171106,142002,216318,139892,96308.3,177619,16513.5,0.128535
111957,114397,175647,104083,94523.9,148859,39325.5,0.12917
111837,101499,179959,104946,82761.3,160840,25538.1,0.129322
146478,121951,203606,128369,90750,167921,19334.2,0.131109
86635.4,85697.8,163835,65553.8,62042,142228,11483.7,0.13163
73365.5,74423.1,159051,74570,69272.8,146132,13101.6,0.140278
96144.5,97210.9,167680,94541.7,82577,155604,18286.2,0.14233
108698,110134,183506,103590,93442.9,152514,18365.9,0.144933
105634,105114,188952,105056,91143.8,155452,10725.9,0.154531
117107,106727,184310,106520,86519.7,157847,24869.1,0.156049
86268.8,89669,161251,65776.1,59767.9,144782,44585.4,0.156139
108350,103312,182913,85367.4,73537.7,151930,14627.4,0.159414
118379,115351,179608,96553.7,84052.2,153404,35014.6,0.160248
103690,99451.8,180083,87621.5,72064.6,154578,16552.4,0.160804
99592.2,98278.4,183271,103735,92954.8,153108,14452.4,0.162005
96464.9,87298.8,176734,83902.1,72814.4,151384,43679.6,0.162484
95433.2,80254.7,172955,61644.4,53303.5,140561,14904.6,0.167165
138211,109091,203049,153632,124687,174627,57664.6,0.170932
141234,121495,210794,132374,97113.8,170135,44243.5,0.177866
83196.3,83144.1,163239,71799.6,65890.6,143515,18748.7,0.178717
89590.9,85800.2,169457,60859.5,53756.5,144114,15107.4,0.182336
103782,107490,172290,94049.8,91692,147138,5414.55,0.183429
108230,103569,184139,103861,89618.2,157710,14304.1,0.18526
116117,103351,191395,94617.2,82674.4,155368,10791.5,0.191742
108078,101876,184103,94059,80986.7,151590,21667.2,0.201134
87389.8,89201.2,169042,69103.5,64506,144664,15111.6,0.20688
91563.3,81563.6,177199,84896.3,68988,156226,35230.4,0.207438
131536,119226,203886,99121.8,79264.5,163233,22144.4,0.211926
114055,107373,186495,89995.5,77037.4,154653,22534.5,0.223555
98327.4,95234.7,179579,99927.8,87218.9,155242,11837.9,0.225131
88373.4,89272.5,162112,88088.5,75985.3,151747,11273.1,0.231987
108957,104518,178858,103482,90488.1,154652,20878.8,0.233223
85010.4,85011.8,169189,70786,66111.4,138547,27108.1,0.235092
104550,102954,175242,75046.3,66104.3,149328,14918.3,0.240403
101357,95710.1,175283,137161,122269,163372,22525.1,0.241171
85949.5,89366,162154,79401.2,75199.5,145952,35636.4,0.245806
109715,104252,184386,106051,89415.4,158707,21973.8,0.248383
130164,112770,195802,134159,107840,165093,36198.4,0.250085
129351,117940,193622,113413,91397,165068,80528.9,0.254118
113646,102812,185251,129518,108654,162538,16350.5,0.256648
108635,104339,179598,89980.2,76605.7,151629,24501.4,0.265605
89295.3,86673.9,169145,85462.7,79218.9,147967,61565.1,0.269345
125568,113127,196517,145704,113129,168205,40545.8,0.277339
85540.1,81180.3,169365,67156.4,59570.5,151405,12041.9,0.277389
107004,104852,176350,89749.5,79513.3,148439,19336.5,0.277579
130967,131418,196981,124959,112936,158067,11312.2,0.282007
101613,101175,171855,94205.8,84568.9,155063,63449.2,0.284956
137300,122211,192707,102462,79374.7,165293,17133.8,0.28562
92967.7,92933.5,169648,89614.8,82145.3,150279,46836.7,0.292385
125234,103767,199600,89077.2,72890.9,149837,10425.5,0.292772
164459,128081,215640,139270,100658,176715,17274.4,0.297689
97713.1,97965,183343,67581,60406.4,155680,15455.9,0.308655
95484.8,90367.5,176643,110627,95791.7,153651,27218.9,0.309273
120741,114830,194434,98629.5,81454.2,158202,26630.5,0.312223
106917,101397,186204,77834.1,66909.6,144247,18383.3,0.312303
84456.6,87380.2,159965,76429.8,71002.2,148768,19643.2,0.313571
81892.1,86223,160325,61219.7,57148.4,138595,27559.3,0.316888
105621,98850.5,176637,106100,90784.6,156012,39611.9,0.31894
104114,102142,178945,92287.1,79648.6,155380,17470.5,0.319472
109692,101418,185970,115613,94056.2,158486,29416.8,0.322838
105024,98503.3,181802,128099,105961,161962,27847.7,0.324306
137304,124079,196645,110996,86663.2,162088,26749.2,0.327894
99557.4,96656.7,185647,82544.7,71142.9,151215,19892,0.328891
130812,103299,197339,132224,99375,169649,19515.4,0.336834
164168,129764,209546,184256,126030,183300,51149.2,0.337405
111157,110201,178739,91544.8,81913.1,152192,42331.5,0.341574
133586,115014,203402,109195,93257,159777,12042.9,0.342369
116836,113451,193658,103561,92967.6,152574,16616.9,0.345017
134179,119942,200710,131248,107053,165277,24816.8,0.34562
132781,118288,193598,107269,81765.3,165026,18416.7,0.347378
85069.6,88279.6,161587,70879.4,68312.4,141636,10928.3,0.347682
94638.5,90746.8,175005,118207,106546,158776,54758.9,0.350116
87788.7,80704.1,175122,82475.4,71378.9,151564,10444.3,0.35593
116258,102832,190157,84359.5,70052.6,151404,30852.9,0.357448
115118,111804,182185,95667.4,78254.8,157120,13104.6,0.358632
91628.2,91174.8,173766,112988,100680,155945,21325.1,0.359986
160578,133313,210323,153518,116074,175509,14542.5,0.360653
99468,99252.3,179297,69946.9,61811.6,146106,17724.5,0.361818
101150,95370.7,183849,75404.9,62762.9,144321,15592,0.373231
107270,105989,175215,116829,98573.8,160369,29123.7,0.378472
141214,122952,204793,131927,109390,169295,4831.2,0.38025
137784,135507,198886,91544.6,72814.4,154924,18787.9,0.380356
108364,102745,183211,89614.6,75885,155119,13606.4,0.392477
90198.7,93165.5,164578,81917.6,70609.3,151810,27523.5,0.396628
123595,118534,191107,105177,90856.9,156376,35746,0.399056
60095.3,61582.4,148190,64694.2,63070.2,140927,16266.3,0.399168
98870.2,102347,174582,75276.3,67652.6,148139,18545.4,0.400776
106669,106212,173155,100602,88585.9,153197,11474.8,0.40632
92053.2,95157,167998,78574.7,71719.8,149507,9619.6,0.408352
84014.5,81383.9,168732,55448.7,52268.9,138093,16506.4,0.413423
109096,104226,176864,96774.7,87806.9,148451,14684.7,0.413789
117345,111731,182438,125325,99993.1,163579,37145,0.416801
92396.7,93271.9,170118,83845.6,78067.6,150500,8028.27,0.421063
91655.4,91900.9,171652,141455,122423,162893,62630.1,0.426029
136129,115551,202766,120763,94627.8,165031,33656.5,0.426308
132326,112275,200541,145826,107999,171869,31129,0.429516
109338,106139,177719,122413,104010,160422,22988.4,0.432233
100602,92442,185807,96047.6,87644.3,151394,19827.1,0.442706
101611,92421.7,179728,87620.4,74543.3,152113,18289.5,0.445827
136433,117261,199105,136148,105223,167710,25280.1,0.450042
109826,96441.8,188637,98814.7,84093.8,156534,25554.2,0.453305
164935,124450,217455,167416,111501,180324,41817.8,0.454556
72951.3,75589.4,155792,56844.6,54298,134534,29802.3,0.457749
122704,107796,194569,139300,116636,165963,22350.7,0.465019
89991.3,84059.7,168472,71493.9,61749.4,146047,11261.5,0.465217
92108.3,93067.3,166201,89579.9,83891.6,148366,29102,0.468132
108829,103373,186852,92715.6,78964,152529,23308.6,0.472092
162797,138230,210482,111371,87411.9,165327,26919,0.474253
77364.9,81188.9,159845,64182.6,64092.8,139200,30185,0.475608
91674.6,89166.3,169425,74561.6,65916.8,148790,8789.64,0.480787
94460.6,97421.7,168520,63232.2,57673.4,142098,19146,0.483221
112635,110408,185998,95820.1,79898.7,156027,30444.3,0.484182
108707,107680,186540,98312.8,86774.6,153348,21601.3,0.484976
88968,83306.3,169615,78703.7,71250.2,148750,23451.6,0.487505
106759,107047,183729,89486.7,81418.1,152061,17443.4,0.498846
86797.6,88430.5,168437,69547.1,65665.7,143988,7412.04,0.500095
102034,99160.6,183424,88557.5,76705.9,153758,36374.2,0.501407
100769,102717,178616,83007.9,76321.2,151664,23323.8,0.505755
103207,98110.4,179320,88398.8,79171.7,152463,23291.1,0.510598
122672,113339,196248,106922,88572.7,159685,28342.6,0.512549
131606,114896,195957,112897,90932.9,159961,30884.9,0.514903
105764,100897,177512,79975.8,70904.5,148808,21429.7,0.516932
109700,106374,174964,93526.6,79228.8,154814,13775,0.517332
90598.8,84317.6,171130,67740.9,58481.1,144262,13652,0.518246
86689.7,80164,168579,85532.9,76329.4,151498,24664.5,0.519073
103447,89020.3,189876,143123,112381,172809,28565.5,0.521134
72000.9,69701.5,161853,72918.3,69203.2,144055,14353.9,0.531686
103091,101371,176083,72875,65836.1,143964,28916.7,0.534623
