"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","PE-A","Time"
176894,147521,224512,143576,101088,174535,6143.42,0.00625846
114261,119062,192184,103239,89020.4,160949,1727.93,0.00643229
108425,102697,192655,98534,90385.5,156144,2413.43,0.0107783
100720,99834,181600,114883,95087.8,164513,10076.1,0.0130296
89978.4,89724.6,183588,92345.1,80651.5,155625,1879.05,0.0220188
110008,112586,192865,108347,105460,151461,22268.2,0.0248875
102573,99146.4,183794,91074.2,77818.8,158216,8703.73,0.0268901
145663,118044,206540,196405,138426,188889,29925.1,0.0326161
158446,130894,210498,118527,92264.6,171768,50916.1,0.0469717
107893,97427,191563,160087,128885,181998,5615.96,0.056278
92223.1,95717.3,178981,76253,68335,148550,144.153,0.0632391
94694.3,91909.8,183160,65302.1,57982.4,152894,8394.45,0.0669798
84260.3,93916,163117,83155.3,80373.4,151315,15333.2,0.06804
125124,116846,206748,102397,86583.6,158361,9700.42,0.0687455
142864,125893,214611,124134,92045.4,172096,25829.1,0.0713591
116186,112533,194105,123349,110552,164489,3776.43,0.0849883
81852.8,84263.4,175611,81288.7,71588.7,152360,7658.5,0.0871541
68801.9,66920.5,165443,96982,85263.1,164613,3784.68,0.0883389
128673,123223,204018,129272,108706,165472,6861.75,0.114738
98499.6,93636.5,182356,93092.5,82423.5,151130,17266.8,0.121472
76739.3,81484.8,176609,88855.6,88535.3,145503,11235.7,0.124689
82937.9,87965,165576,68464.7,67184.6,146131,13414.2,0.126754
118870,107879,196575,103428,87327.1,163364,15093.4,0.127305
103363,99944.9,182882,95043.4,78679.2,161824,3473.28,0.132994
104721,108057,190581,73717,65094.3,151172,2082.7,0.137367
69429.2,72525.9,159076,88250.3,90022.9,146500,630.017,0.14375
153866,146791,211282,110915,88347.2,166204,3460.53,0.146289
80676.6,79443.4,177194,82723.3,75975.3,151630,1983.94,0.147967
99262.6,100821,175567,108402,90719.6,165477,852.324,0.15029
110563,112587,193592,85952.4,73454.8,155722,15751.5,0.158863
90870.9,98134.8,185864,81795.7,80129.9,148789,1719.89,0.167744
155987,139577,212770,147149,109046,176713,2357.24,0.167773
98589.5,101513,183756,91284.6,83796.4,179748,29197.9,0.16959
111970,104959,189382,114449,98377.6,166060,2878.21,0.176737
142429,137318,213304,123780,106463,166598,22896.7,0.197871
106513,102910,198308,92768.8,83779.2,150782,9063.53,0.207284
54804.4,60772.9,151095,61149.6,65842.8,137545,604.774,0.216476
93656.7,99217.3,183375,71641.4,67122.4,144566,880.732,0.217527
112496,102597,199476,110417,91009.2,159593,963.54,0.22033
120008,111220,200415,129378,107544,168192,6291.92,0.229073
129766,125888,206895,119015,105544,162110,43823.8,0.233106
133844,118033,198239,99152.4,80366.8,165171,12974.7,0.233224
78412.5,85170.8,176633,57200.1,59026.5,134683,3536.05,0.235598
151089,137920,216585,116344,92353,161530,10186.3,0.236587
77933.5,83408.6,164383,96825.1,94970.6,152960,9997.5,0.23854
105755,100652,193856,97037.8,88553.5,155121,15101.9,0.239025
99193.6,95931,179781,105264,85225.3,166198,2331.46,0.244662
98703.3,96371.3,189843,100647,81756.4,161976,5785.57,0.244708
128293,117214,201531,164723,131947,175451,27707.9,0.24828
179771,142799,233327,167759,117268,179593,18364.7,0.251776
144512,130121,203160,109035,81092,166368,13635,0.252052
159049,125716,207404,159098,114912,180003,6532.14,0.252449
