"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","Time"
114932,110530,193144,94709.6,93685,148540,110036,0.00419653
93179.9,85071.7,179162,89151.5,89532.1,155690,53522.8,0.00652622
81117.2,89989.2,161753,64838.9,67436.7,141700,33849.8,0.0280631
136041,134279,198564,107878,110090,154825,57273.2,0.0340362
128624,128217,200106,86976.6,81906.2,153209,59822.1,0.0770285
91696.1,96704.1,178511,52687.2,55626.1,137564,35452.4,0.0800109
70168.5,78658.6,154348,44058.7,50941,127902,26620.4,0.0948851
109953,110372,192653,72458.2,72533.5,145979,39811.9,0.216293
97194.2,103613,182752,61668,63112.2,141501,54954.2,0.251843
114965,120875,185719,67404.1,68839.1,145591,47985.2,0.260571
76944,81167.1,167846,52515.3,56272.3,134523,20685.4,0.267958
122816,120668,199816,86115.3,84859.9,150294,51417.5,0.281022
58449.9,65888.2,148478,32450.3,38664.4,119312,18214.1,0.341707
75336.9,84616.5,166465,55761.1,62762.4,135004,16339.2,0.403176
120268,114501,195843,92868.6,85496.4,155154,80519.4,0.437541
116396,113959,193280,96996.3,94674.2,153640,58111.9,0.440671
140012,130120,205502,107071,95924.5,162565,95230.1,0.450274
74391.7,81846.6,166207,43516.6,48753.3,128416,33235,0.500005
95708.7,100733,178218,77662.4,77625,148063,23042.2,0.578742
84733.3,88243.4,167828,64702.5,68787.7,135594,44568.6,0.590528
116763,121964,188951,82063.4,83001.6,148511,44779.1,0.664554
60075.5,61645.8,149517,48081.1,49832.3,136157,23303.7,0.689062
107221,103152,189580,99602.8,96694.3,153819,45585.5,0.712408
134776,130141,201471,92674.7,87047,152231,105589,0.734121
90607,94093,175871,74638.1,74480.2,144384,28757,0.761552
91825.4,96615.9,169875,66709.8,69201.4,138587,41950.9,0.777251
98211.2,99904.4,182152,63457.9,63716.6,144032,43346.8,0.785491
105894,109410,188341,63508.1,68213.6,140635,54118.3,0.80844
125424,122050,196594,89007.9,85588.2,151607,91158.4,0.821669
66813.1,72358.5,154535,62931.8,73109.2,137770,21714.7,0.827074
76515.6,82762,163433,76328.8,83744.6,143935,51845.9,0.863457
108541,108289,185767,73152.6,74825.8,145074,92086.7,0.900814
93886.9,92695.7,175712,78923.7,80399.6,145795,65513.4,1.03302
111425,114861,181807,88669.3,86722.1,150817,73466.1,1.10325
95719.8,91037.8,183887,74390,70937.1,147492,11574.4,1.10871
75239.4,74736.7,159544,64838.9,71589.1,142016,25160.9,1.13216
111143,114316,188749,63349.5,64499.8,144058,39078.4,1.19427
99635.4,100268,182077,118817,116698,156522,134662,1.2231
114364,121470,189231,67623,69922.5,145960,41620.2,1.25443
97581.3,105219,177150,54962.1,57804.4,138940,39561.8,1.28952
90778.6,96058.6,173388,67740.1,71023,140524,36395.2,1.31328
105431,111482,186984,53902.1,57282.2,135401,41112,1.33002
156151,139918,206047,97483.3,90340.6,156057,93399.1,1.35289
105346,100486,181518,99470,96313.3,152508,139851,1.3539
83886.6,91247.9,175530,45423.6,52238.8,127363,32423.4,1.35748
109601,110736,189403,81915.8,76742.6,153001,52004,1.41619
69014.3,75007,155877,57353.2,64666.7,138797,25042.6,1.42081
102306,104014,183086,71709.7,73857.5,144971,58307.6,1.42518
87765.7,93160.2,175865,73646.5,78016.8,145472,29704.7,1.44567
99791.7,95584.1,189145,61669.7,60683.3,144191,50582,1.4492
143209,137354,206784,127044,114282,165340,118557,1.46123
98127.7,105737,179992,64492.2,67398.2,141520,36507.1,1.47217
110973,117405,186336,83683.5,84956.1,151316,66996.9,1.47555
95809.9,93329.6,187648,64706.1,61545,145865,32805.7,1.47694
83603,76264.7,170358,66008.6,64324,145425,28792.4,1.47837
119836,116216,191865,76669.1,73808.8,151165,68255.7,1.48614
94791,96787,175315,74648.2,77359.9,144486,30487.1,1.49555
91590.9,96850.9,172187,63031.5,66072.9,144011,52130.9,1.49847
134005,128097,200419,116097,110777,158631,43853.9,1.5023
99949.3,103928,181489,58450.6,61063.6,141489,28723.1,1.51617
107289,105169,183642,98040.5,93992.6,152364,50509.4,1.51765
141750,139844,202586,61632.9,58767.9,142803,110354,1.52297
83757.5,89346.2,176844,55583.5,59176.3,131842,26886,1.52717
112930,113674,189279,77029.8,74974.4,148264,34799.1,1.53504
81129,90241.8,168982,63758.3,69416.9,138109,25672.3,1.53638
97737.1,102928,182046,55974.8,59110.4,139295,32983.2,1.55242
100969,107305,184402,57979.6,61540,138978,30894.2,1.55562
78973.8,88039.6,165887,41397,47203.9,126931,33871.4,1.55833
101344,105834,186009,55332.1,62416.7,133885,70785.9,1.55874
77048,83791.5,162988,58844.3,64018.2,139011,27558.3,1.56611
88315.4,95685,175737,61839.7,66815.3,136279,34111.5,1.58035
97923.1,101059,175667,72847.3,72061.1,146127,49159.6,1.58148
78567.7,75225.1,165038,77869.5,89718.1,142008,15892.8,1.58161
86657.8,95717.8,174436,59901.1,65304.8,137899,27329.6,1.58825
90940.4,97837.8,167619,53006,56088.3,138518,51500.1,1.58848
74761.9,77623.8,162540,43820.9,45460.6,134006,42827.6,1.59212
91869.5,100064,184554,62609.3,66611.2,139044,29010.8,1.59729
98397.4,98248.5,182178,55773.9,56863.8,135690,25365.1,1.59941
135667,128586,204226,89505.1,86309.5,150987,85153.2,1.61592
130539,129039,193240,118786,125229,153311,75082.1,1.6198
114966,111352,192119,86546.8,81854.3,152179,44762.9,1.62306
106734,111254,190521,58153.5,62355.1,135460,57885.4,1.62548
131101,132142,195223,77779.4,71750.8,151174,89864.7,1.62555
85997.8,88907.7,164833,56921.6,62829.1,138461,31648.1,1.63052
113500,114948,189551,67095.1,66182.6,144323,58574.8,1.63754
117976,117619,192443,69780.1,67103.7,145467,64788.2,1.65055
108443,115747,187184,66956.8,69764.4,138620,38678.7,1.67622
80809,88653.3,164818,54671.9,58865.3,135873,25034.9,1.68659
114721,119545,191782,80595.1,78026.4,147850,48768.2,1.69091
96490.6,98045.2,173406,54258.2,57488.2,134773,38194.2,1.7107
76583.4,83004.1,160173,46559.6,51784.5,132029,38264.5,1.72452
90341.6,91390.7,169508,64774.6,68578.6,141601,83951.3,1.73574
126607,125647,193990,80557.2,80103,145978,91558.4,1.74943
76354.4,82356.4,161808,49355.3,55746.2,130558,32622.5,1.7543
85812.2,87421.8,174722,57561.1,59631.8,141814,32591.6,1.76123
114325,112535,189467,103049,107683,150771,75865.8,1.77692
112488,107206,193652,99333.7,103214,151837,64604.5,1.78508
94211.9,97991.6,178471,61498.5,65766.6,138140,43926.5,1.80229
116266,113760,184503,99129.2,99473.5,152868,86652,1.80381
111487,115492,190107,55145.2,58332.7,134615,49442.9,1.80626
106892,106434,184050,75499.7,75884.6,147441,40027.9,1.80828
140198,127159,205568,103045,92092.1,159996,196647,1.81525
79072.5,87623.8,158547,66090.5,73198.4,141082,38075.3,1.81561
67423.6,73939.8,161388,76677,92093.7,138840,20645,1.81726
89099.4,93070,170679,60681.1,63424.6,141461,50329,1.82624
65097.2,68576,152176,51690.3,55187.5,135838,15483.2,1.83942
118531,114918,193268,76220,74458.6,146315,56106,1.84158
102727,102851,180316,94069.5,92076.1,151472,80673.9,1.85498
86860,91166.2,167834,63013.6,66873,142286,30730.6,1.85668
100916,101043,180824,87059.3,88466.8,148039,41399.2,1.86076
100276,106327,175107,70506.4,75109.8,140895,64409.6,1.86504
125162,120903,195570,105961,98205.6,158190,134317,1.86597
85725.5,91253.4,169007,49818,54444.7,132407,25162.3,1.87303
81632.4,88238.9,169617,48386.8,52466.2,134247,31495.5,1.87468
72172.8,80868.3,155881,38093.6,43073.9,121513,26750,1.8813
89604.6,94858.4,172846,56279.8,63900.9,135248,49387.9,1.89073
90003.1,94676.3,169906,81164.9,90235.9,144377,38836.4,1.89125
84138.6,87432.7,168537,85316.6,93625.1,147853,49765,1.89222
88379.4,93426.5,175610,44407.6,47805.2,131133,45164.8,1.89302
71718,77678.1,157958,63329.1,69390.1,141448,36372.3,1.8982
101697,108906,185841,50898.1,54789.4,131154,62102.2,1.90274
133745,127415,201546,94321.9,86081.8,155174,45533.4,1.90475
83321.7,80923.8,168371,63535.9,62191.6,144846,8388.35,1.91721
77904.2,81034.4,165078,81750.7,93702.2,142239,33886.8,1.91842
101858,107865,182573,65155.6,69168.4,141643,49821.5,1.93105
123072,126136,196944,67146.1,63554.6,145318,78296.6,1.94425
61196.8,62084.9,147960,81345.4,87633,148507,30812.8,1.95309
84384.7,90842.4,170140,55927.4,56456,137898,30779.5,1.95785
88044.5,92883.5,172103,54331.6,57435.4,140787,26340.6,1.96601
103345,107698,178966,66085,70507.1,139796,38438,1.96634
94290.8,99075.9,175119,57161.5,61618.9,138722,25314.4,1.96973
103295,106301,178771,70842.8,73496.4,147832,64281.4,1.97379
93415.5,96908.3,178709,72616.3,78778.3,141500,64677,1.97621
105400,113312,182688,54473.3,58157.6,134272,59317.4,1.98071
101106,102819,179816,72244.2,71008.6,147972,19435.3,1.98091
116667,115467,189207,79654.8,81147.8,147671,106355,1.98935
105015,107109,182936,81565,85795.1,146484,67394.9,2.02548
131839,130268,197650,100096,98736.5,153329,160955,2.03135
112607,112932,179780,83242.4,81808,147938,92832.2,2.03465
121199,121139,194151,86837.6,88093.2,147976,68486,2.0415
117994,112144,194208,88000.7,82928.5,152646,53708.8,2.04214
119415,120991,196557,69596.6,71704.4,142397,68031.7,2.04888
104279,110735,184072,59654.6,60297.7,138941,50978.4,2.0513
84737.8,92058.9,164614,65122.1,72325.5,141707,31418.7,2.05803
132083,132299,197589,75831.4,73265.6,148853,48197.7,2.06115
103185,107020,190144,71065.5,74788.5,140567,41681.1,2.06141
140731,133601,199464,92489.3,83233,158113,87865.7,2.06284
84231.5,88320.3,163236,61537.7,63961.2,143569,38888.9,2.07105
112632,112294,184048,117033,117401,155687,73872.5,2.07297
69930.8,77140,151659,52442.4,55692.5,138082,28069.1,2.07555
117587,120529,188390,67057,65930.7,144879,52425.2,2.08742
88741.5,90688,165498,81634,83785.3,147874,71203.1,2.08892
71357.8,76082.2,157502,50886.5,58940.5,130862,16981.4,2.09233
75091,82488.6,164727,50470.9,56626.4,133567,22283,2.12533
86478.8,88746.8,177701,62366.3,61043.2,145817,17062.1,2.12666
106086,103878,182824,81576.2,78549.6,151944,100702,2.13257
129409,130124,193688,73687.7,72998.4,148466,65458.1,2.13494
111203,113051,190758,87206.5,87317.2,150508,79724.7,2.13716
81347.4,86597.7,163320,59246.2,63146.8,138097,25199.5,2.1434
89883.8,94077.7,170302,85528.3,91561.1,146401,58231.7,2.14414
100307,106090,186880,66092.4,68100.4,144469,41917.5,2.151
92157.3,98026.8,172742,69746.9,75949.9,139025,50618.8,2.15255
67368.4,71005.1,154818,64777.7,72903.2,138339,30584.3,2.17706
121093,122130,191828,64901.3,64535.3,145175,59951.7,2.17804
79553.3,82861.5,175211,88523.9,101367,146529,35107,2.18344
74305.2,82219.9,168140,61884.3,65887.6,139541,20697.1,2.1995
71163,77958.5,155898,46133.3,49629.6,132196,27851.4,2.21447
113655,115935,189816,62354.9,64626.1,138480,56693.4,2.21728
122484,119053,195642,93891.6,86988.7,155131,100867,2.22633
122323,122644,196836,108905,112101,156365,40997.8,2.22928
75822.2,82894.8,158589,59948.5,65241,135794,20725.2,2.237
117508,116066,189249,84211.6,85023.5,148038,65976.9,2.24952
105999,104465,186648,83337.6,73718.6,151058,60459.9,2.25127
120634,121595,192012,65857.7,65001.7,144783,57237.5,2.25353
80546.9,87349.3,172577,52351.8,56036.3,134824,23696.4,2.25401
101772,107376,183054,61511.6,63650.5,139653,34732.8,2.2559
91176.6,98684.6,171661,56784.1,63546.8,134993,30709.1,2.25719
82479,83365.1,163316,76560.1,80980.9,145155,24443.5,2.25775
77204.3,84722.4,155525,68316.7,72212.6,143769,20790.1,2.25987
127075,121769,198661,99926.5,94071.3,152744,78428.8,2.26001
80028.1,88652.1,160474,45759.9,51467.1,126521,28207.4,2.27041
84435.7,85557.7,174961,43663.7,45206.1,134460,27406.3,2.27473
123996,115387,198787,91285.3,89006.9,151829,52535.6,2.27773
107200,106101,181961,89524.8,90157.6,150358,124783,2.27952
92739.6,95068,176725,54641.9,59022.8,134191,39446,2.28754
102068,102476,189461,68376.8,70964.3,144092,34429.5,2.29623
94382.2,90109.6,172180,120694,109023,158452,115871,2.2975
99922.2,103189,177009,50677.4,52370.9,131415,48742.1,2.29785
120024,118944,193103,59624.2,60158.9,139247,80780.3,2.30054
84682,92562,171285,48958.9,53451,131334,32692.5,2.30261
100710,107481,184034,62292,67338.9,138055,34162.3,2.30919
108980,111542,186508,94014.4,94552.4,153841,62564.8,2.31152
67759,73279.6,158243,45160.4,50318.5,134656,15407.6,2.31213
123193,124956,191844,63017.3,63347.3,137634,74462.3,2.3185
125135,123854,192958,84231.6,81247.9,151139,98802.5,2.31854
93417.9,96341.1,175492,63603.6,62016.9,148523,45391.4,2.31902
128622,124265,195990,100262,99714,152871,95804.8,2.32275
101873,105813,174828,63872.3,64116.7,143980,61908.4,2.33294
121603,121370,197114,87899.9,87280.4,150342,64296,2.33577
