"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","SELE","Time"
75772.1,77079.4,155561,66734.1,61558,138814,3522.91,0.00273635
109278,94367.8,181715,104497,90746.4,153542,5270.53,0.00388167
82295.4,80629.7,158796,81113.9,74632.1,144971,2136.39,0.00462336
90160.2,82752.5,171373,67920.7,59354.6,145613,1583.47,0.00602416
126740,109337,193779,127518,94358.2,164267,5554.97,0.00638911
97227.8,94866.2,169019,70456.5,61629.8,144682,3175.62,0.00657702
106983,105283,183052,67666,58020.5,138006,7002.93,0.00679814
97151.5,89981.5,175875,79641,68074.2,145031,4402.77,0.00788942
104179,99868.1,180170,101490,87463.9,152296,5876.31,0.00827521
92009.1,86928.5,173409,82382.8,71323.6,151026,830.798,0.0096028
98956.7,91967.7,176678,66990.9,56993.4,150910,6571.56,0.0133352
96245.9,97270.2,176469,77019.5,68666,143584,398.231,0.0143307
92966.9,92198.5,170258,82809.7,74242.3,145405,1989.14,0.0168084
98226.2,92471,172008,54609.3,47645.8,131141,3139.47,0.0256365
86441.7,79480.3,165288,91532.5,85556.6,148200,2533.65,0.0258328
83460.6,85579.6,162807,57496.9,52826,137093,936.032,0.0258733
117705,98643.5,187595,124714,102796,165648,8371.29,0.027148
119341,115465,188686,119381,108730,152750,4472.58,0.028584
112840,110125,191686,81840.4,74219.4,141868,5389.77,0.0312802
122839,109833,191495,82154.7,68291.6,153112,2556.6,0.0327022
112640,100113,192177,98639.2,86171,145584,431.63,0.0328493
78810.8,76046.4,159608,55225.9,48153.5,135469,4195.11,0.0350613
111842,104514,186681,65549.9,55548.6,136391,18725.4,0.0357417
80125.2,77335.3,157851,80644.3,74396.1,145361,1224.03,0.04113
82894.6,80801.5,173617,57069,52212.2,132231,273.652,0.0417021
97389.2,93487.7,181237,74934.4,65235.8,140894,9718.49,0.0422524
101170,96596.7,180155,63534.8,59816.7,140528,9644.98,0.0436489
130713,121501,198518,96357.4,79078.9,155111,9542.05,0.044867
93236.5,92400.7,168959,61114.1,55134.9,140714,13759.1,0.0457531
82207.3,85518.9,158249,61314.6,56757.7,139856,2299.23,0.0476224
91918.3,91683.2,176199,79025.2,73537.9,143977,3341.31,0.048459
123495,106906,195431,114881,101381,168850,8825.43,0.048996
102362,101689,175348,76642.3,66028,145350,5235.52,0.049254
57766.7,58465.8,143113,67115.1,70491.3,136339,8033.44,0.0494438
128212,110398,196798,98295.2,78149.5,166568,7000.54,0.050823
92387.8,88632.6,162318,68571.1,62966.6,142699,5011.76,0.0529702
125387,105430,196388,91607.7,71847.3,155106,5458.72,0.0559269
89631.4,91464.9,175281,58275.6,56377,130503,9675.43,0.0561851
78096.4,73698,162050,67765.8,57556,141916,3241.91,0.0575664
69286.6,64952.5,151350,70185.7,64057.4,137567,3014.41,0.0577954
68842.6,72354.8,146013,67203.4,66258.3,136202,316.125,0.057849
103339,88457.1,183794,115285,87095.2,159757,4189.82,0.0619658
104855,102940,175607,77578.8,65694,148095,105.752,0.0678362
97632.6,90739.3,175163,86409.9,72733.4,152118,1400.7,0.0691935
95436.9,90737.1,183615,80708.2,75148.9,145693,5147.23,0.0711018
106217,107979,183800,75853.5,70048.6,139664,6250.3,0.0718556
95645.3,91208.7,169176,105096,91304.9,152939,5998.76,0.0724567
64997.7,67656.4,166407,49082.5,46451.8,135562,1441.19,0.0728134
114573,113685,189022,83839.3,70439.3,148706,4816.34,0.0747899
112921,101771,188959,104665,86338.6,155625,1812.78,0.0771481
117942,117647,189002,79369.8,74697.3,140953,2850.84,0.0782418
93378.1,88129.1,173105,80064,67256.8,148976,3648.02,0.0808612
96977.2,87439.3,180506,72658.6,59636.8,145475,2160.61,0.0836809
120812,118075,189355,92132.6,78578.8,151310,5033.14,0.0847515
