"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","SELE","Time"
101080,92363,182100,123204,107551,162812,90.8723,0.00192067
85311.2,88178.2,167980,100205,92247.8,154741,8.20999,0.00248479
111342,111667,195317,85986.8,73473.5,156113,21.9281,0.00533719
113532,97910.4,200535,149822,103826,176353,58.7537,0.00673157
132959,112819,199256,152987,112488,177482,78.6024,0.0071955
131546,114076,205904,119728,87980.7,170286,32.8372,0.00776511
93815.9,93092,182716,83505.1,77194.6,150445,8.97528,0.00892958
155226,138392,227871,162539,123967,177925,184.396,0.0137732
100225,95062.6,182656,144113,122123,168704,42.7598,0.0166866
92183.9,99929.4,169009,93346.4,90250.5,151160,26.7037,0.0229552
141682,122049,210974,123740,92760.8,173039,24.0095,0.0254401
135432,127006,212821,112254,99037.6,160749,5.83142,0.0283664
133986,125462,198405,101970,84604.5,162800,58.71,0.0297547
92262.4,100470,186620,76462.3,74210.5,144854,6.54831,0.0314247
105490,104126,193255,91921.1,82340.5,154925,7.58061,0.0329134
92251.1,89457.6,190290,102444,86264.2,174708,55.7855,0.0390799
86779.3,88397.9,172959,67767.6,62939.7,140431,5.96576,0.0443579
149073,143502,213750,98825,78884.7,162131,35.7632,0.0455444
112822,103375,190188,67909.9,55650.9,157263,29.8792,0.0479392
79396.7,80774,165588,88156.7,83170.1,149553,13.5455,0.0546134
133339,125559,210215,112715,90563.2,165525,67.2099,0.0557308
104619,94095.6,183620,133628,112264,166602,41.1819,0.0587293
79592.5,85805.8,172929,81946.8,77761.2,148174,1.06326,0.0589279
95977.7,91940.5,186648,76223.7,69172.2,146144,26.4244,0.0657934
118480,103458,194051,111859,98618.9,165165,34.5343,0.0758614
78390.2,84375.5,171897,88507.8,86759,147831,19.2571,0.0761621
96803.8,101761,183958,74748.5,59567.9,153299,-19.1192,0.0840532
98320.9,85537,186861,124969,98256,163565,27.8224,0.0841318
103650,98912.8,183762,116710,99182.7,166017,33.5908,0.0889464
120076,119951,189718,123230,105631,162571,16.0967,0.08967
113288,105479,198757,113159,91260.6,168884,17.1023,0.0912121
100536,109457,180775,90972.3,84481.5,154737,1.28506,0.0935825
134375,117342,212808,136130,101175,175701,16.051,0.0939368
120804,112108,201555,99267.2,70826.7,166178,20.2687,0.0947672
129735,133027,201683,106613,91515.8,161593,33.7323,0.0959668
118115,111422,199496,78663,64395.5,156237,-0.291578,0.0965937
141408,129079,207170,125969,93754.9,172553,39.6558,0.0967854
135881,126550,207437,105620,85380.5,166679,17.2854,0.101422
102984,106693,192526,66716.2,58763,145958,32.1785,0.119382
124375,129708,195315,112592,102006,155473,48.1463,0.122572
126798,127470,200853,138014,119725,162755,47.0363,0.135471
114362,115106,192864,86370.2,80183.8,152285,13.3637,0.137576
115859,101911,197061,151532,127708,168412,68.2983,0.142146
97407.8,92280.4,195436,74261.4,62191.5,155309,12.4558,0.144024
137915,122195,210021,108809,78817.4,170236,14.3642,0.145196
112453,92901.6,203402,74741,57956.5,158399,21.0056,0.15014
84850,94378.3,176532,76568.9,66093.8,147982,0.487044,0.150454
140979,124322,217265,120771,98749.6,165786,32.0845,0.156054
95451.2,99379.4,183508,82421.2,71677.9,148500,22.9447,0.156987
108479,105611,193884,105619,87792.8,163696,34.4399,0.159242
107153,110665,189591,100842,89016.8,153093,8.29996,0.161247
149497,142009,211571,122706,101902,168181,26.0987,0.164896
134817,120131,196093,133560,113491,166272,31.4267,0.176068
101574,92662.8,190166,67033.6,54969.7,145566,32.1785,0.18076
117560,117489,197048,100751,79997,162816,17.7891,0.182164
149002,131242,210883,125712,96888,169201,54.4753,0.191287
126411,105954,207839,159267,122579,176498,286.824,0.199878
74580.4,82657.9,163334,70878.1,65985.4,145980,13.5,0.215095
123699,117670,200051,85455.2,75543.9,156518,49.1132,0.216541
178518,151131,223692,180032,128975,179910,261.687,0.217586
111540,102475,189439,114137,94858.1,162902,45.1105,0.222587
122074,110964,200873,104405,83478.4,162512,41.4207,0.232758
84281.1,83071,172914,91099.2,82680.9,152892,32.4607,0.233543
89371,89951.6,173129,79751.1,77929.6,144148,52.4219,0.236167
93312.6,100325,169379,67825.1,63499.4,146352,25.7267,0.237026
119645,122454,195559,80448.8,73809,150354,41.1819,0.238484
109248,114159,182838,112956,104207,158941,65.5984,0.24802
112930,109437,194244,93092.8,80346.8,162493,36.5681,0.251338
135252,124392,207107,129490,116838,161991,77.8207,0.266186
92703.7,93890,175227,65673,62577.1,145699,19.3031,0.275161
134884,121788,200473,134705,110639,171491,115.3,0.284317
156428,134426,216831,130353,95871.7,174675,10.69,0.289215
129743,123523,204730,102038,84481.7,164326,29.6451,0.305293
86956.4,83147,167331,84285.5,73617.8,155121,1.46257,0.327645
101154,95802.2,193335,87762.1,72240,159240,18.2016,0.361232
139078,121836,208525,157931,122474,171093,64.9886,0.361735
119395,128558,197409,74542,71056.7,148092,32.4137,0.368798
87864.1,90522,175670,56393.6,52818.5,144063,10.3286,0.374523
101265,90413.2,192191,80626.5,69007.4,162661,23.6852,0.374867
102135,110205,182925,109729,100830,158580,14.3186,0.381106
79275.6,81750.6,169713,101357,95965.5,164738,33.968,0.381473
113367,111970,192686,90919.1,74361.2,159158,16.0967,0.38679
97773.7,93892.1,182728,73838.7,61574.8,148869,16.2794,0.392592
108534,99256.1,199122,112319,95161.1,159139,30.0665,0.395228
106267,105485,190657,88323.4,79211.7,155307,2.66244,0.39753
72457.8,74868.1,161539,61723,61494.1,141608,13.3637,0.400573
102678,97239.7,191876,108601,95205.3,158220,36.9472,0.401247
91006.7,99375.9,172645,87057.4,85879.7,149408,9.38089,0.404404
110114,109904,188808,108751,94731.9,162651,32.7901,0.414198
160118,142988,217003,134163,92479.8,175745,30.9104,0.415858
101275,105674,185927,62769.9,60311.5,142388,10.3286,0.419597
116565,114758,191328,96732,82991.6,156660,2.44002,0.422215
96151.3,104116,177246,72720,75088.1,142414,6.41382,0.425148
90114.7,92740.7,176024,107783,98208.1,155220,28.8966,0.438997
136613,124066,203799,120769,98053.2,165907,225.059,0.441478
112335,118175,189346,121060,101856,163095,16.6907,0.446605
143829,140674,213964,112247,101446,158620,48.8714,0.452481
150297,121666,212805,181704,132595,182218,71.127,0.465564
122764,103949,207840,113976,79539,174591,38.4188,0.466871
118886,127167,197772,83725.6,77717.2,151813,33.8737,0.46967
89470.6,94148.8,182174,87287,84784.3,150455,82.1615,0.476135
112376,102505,201395,100465,88853.5,160125,12.8188,0.482299
134313,131245,208063,108105,91622.8,159454,66.3389,0.489248
134196,115863,207377,149736,105925,179908,21.0517,0.497804
71323.5,75529.4,168262,64013.7,64119.3,138267,2.79593,0.498848
118001,106292,200334,125563,106972,166659,60.7167,0.501854
121581,120667,202912,85486.3,77157,152824,17.9724,0.514149
93621.2,96552.6,183662,81351.6,74720.1,153878,36.9946,0.517852
172623,140484,224323,143445,100179,177187,138.211,0.518352
69026.2,75118.9,162507,63951.9,66066.3,141252,34.2511,0.518404
129041,127866,200667,105841,82753.5,165355,16.3251,0.523721
150694,140100,207202,103996,85462.8,160277,18.9816,0.52832
100758,99675.6,193593,107112,97218.5,157657,33.9209,0.531532
123444,108348,199596,154263,120309,175293,32.4607,0.535324
76299.9,74131,168320,79886,68273.7,155504,-8.49741,0.543955
98337.4,97759.8,186234,94745.9,80419.8,158295,47.0363,0.549658
145487,137181,210480,104389,85674.4,162175,97.7496,0.557076
112817,97553.9,192650,109322,88804.8,168072,38.3712,0.557807
125821,120598,202885,133907,121171,161306,39.5606,0.568732
104999,101747,191294,125569,98869.2,169400,3.50852,0.57019
117948,111820,206079,110385,90540,166442,9.96734,0.572682
114942,96226.8,195659,108492,86019.8,172461,104.054,0.573384
123701,122497,205420,108516,87504.8,162475,65.0321,0.583731
99351.9,96123.2,192601,70141.1,61298,150929,7.53568,0.586375
79940.6,83813.4,170270,72845.3,69034.9,148927,16.9194,0.593938
98958.4,112591,184168,111488,107357,165883,11.0518,0.600821
125555,114850,205655,123305,100232,164254,36.0471,0.602175
80957.8,83113.2,177109,89606.9,86878.5,152538,86.4542,0.614669
92532.2,90065.1,175510,84115.1,76186.1,153128,12.2745,0.630989
92346.5,87285.5,179617,89638.4,74060.3,157698,4.31139,0.638116
121031,110740,200956,131740,107576,167815,94.2476,0.640914
105582,110889,193093,75138.4,65700.6,149318,29.926,0.651586
140765,135120,209734,123368,105741,163707,18.2474,0.663513
121810,117622,204017,110032,83793.3,164830,-1.74947,0.672108
101264,104317,189013,107312,99746.2,158401,6.68284,0.680164
79573.5,86515.4,164969,65092.2,64767.1,142424,8.70505,0.680382
92562.4,102355,183495,77516.8,72874.3,145360,18.5226,0.689324
76604.3,85749.2,168137,79748.4,80176,144415,42.6641,0.708489
114352,103160,198972,117622,97443.6,167835,1120.2,0.712355
98387.1,106633,190098,77407.4,72841.7,148181,12.6373,0.782148
89523.2,84202.8,176876,77971.5,60567.8,158274,4.08824,0.790694
123996,117821,197517,105756,87515.8,161487,66.818,0.79935
100486,100102,193253,106455,93449.9,155897,10.9613,0.80133
97732.8,104804,183928,75994.1,69793.7,149496,33.261,0.806174
138021,126927,215974,113479,96477.1,163700,61.3272,0.811097
98336.7,94840.9,190230,77975.8,69819.2,145550,6.05534,0.817524
114631,110277,202434,107078,93704.7,159679,35.2902,0.831823
120761,98297.4,207437,135515,111940,168689,66.8615,0.834842
102994,99824.2,182365,98862.9,85473.9,156190,31.8495,0.856532
111105,113873,188316,110188,92123.6,159041,28.0091,0.868803
107758,97965,197009,95487.8,81072.9,162504,22.3437,0.87222
165182,151392,220357,153787,120321,177754,57.7063,0.877679
142115,147941,200625,115326,105558,159655,1453.56,0.880572
139914,125218,205926,157123,119850,174710,59.0154,0.881195
97093.4,94167,182803,80491.5,69946.4,148708,15.4121,0.893987
108212,114161,192896,106712,98394.4,155772,12.5012,0.911341
63361.7,71667,155480,108260,106350,153406,0.531344,0.912387
107854,102052,181994,133249,106563,168157,24.3339,0.912545
119917,108931,194321,128834,104222,168971,17.5143,0.916297
112620,106486,196645,103986,75920.2,165575,20.0386,0.917405
66790.9,73612.9,165964,104304,97850.4,152447,14.2276,0.923015
102801,96747,189575,110304,85773.9,166723,46.0726,0.925143
119734,115540,199033,145192,123556,168973,34.8177,0.935122
176570,150602,226928,132668,104310,169524,33.6851,0.963103
127734,120762,205779,84535.9,68537.2,159256,36.5681,0.967279
97648,104020,182366,83372.1,79202.4,147695,51.6344,0.967536
104421,96513.4,193476,107115,80386.2,164748,45.9763,0.97425
118704,119904,189213,115244,94666.4,163322,-4.79021,0.975203
107331,114618,193855,77598.5,69985.6,149326,4.48998,0.981022
104218,104078,189347,106289,95440.4,156472,81.6842,0.9892
116956,107526,197226,151130,118097,175552,11.459,1.00233
100580,101544,183735,85317.6,81486.9,151640,26.4244,1.00345
107484,93511.6,191377,158799,131236,172700,5.47335,1.00664
84904.9,86856.1,168399,56885,52507,145014,-3.20736,1.0125
151060,136382,213758,120027,97974.2,165935,61.24,1.01545
76786.2,86773.6,165047,93469.3,89936,150885,26.5641,1.01855
159066,130981,213352,140180,102584,177453,29.5983,1.02047
148088,123177,214389,123153,84520.3,176017,36.6628,1.03081
110338,113487,186878,100795,94962.5,155053,26.2383,1.03274
106776,94942,196779,138581,117442,166377,29.0369,1.0416
146646,117213,221667,147375,109993,179627,126.644,1.04375
110065,107954,192638,113246,93391,165227,31.8495,1.04604
147879,123771,214243,113595,77217.4,172817,24.7978,1.04921
132344,128888,200804,122711,95823.1,167025,17.3312,1.05267
99395,104266,181734,69173.8,64257.8,146079,28.0558,1.05412
102718,101842,192023,82976.4,70526.4,155155,-1.99939,1.05685
121775,99654.2,202781,145495,110619,176445,109.229,1.06529
128923,130073,200671,78177.3,70330.8,151097,23.5462,1.07454
150323,111619,221043,164920,126800,175737,226.23,1.07893
129630,125531,201557,119633,102385,159753,20.2687,1.08246
104066,108578,179871,118342,109033,157709,44.8702,1.1166
138155,126769,207676,109729,80199.4,169534,49.5803,1.12768
98836.8,96437.9,186056,80754.4,67098.9,153205,16.2794,1.13585
79659.9,89184.8,166245,81932,76158.7,146451,32.5548,1.13618
147302,126522,212705,104138,77854.6,168969,82.1181,1.14919
105425,97682.5,196061,76618.4,65948.6,148019,14.0911,1.15956
86458.7,82930.9,182661,94848.5,77220.8,156154,48.3879,1.16447
117400,110260,199653,131614,110744,168877,45.1105,1.17399
132125,124268,203214,134954,118313,167660,50.8575,1.17609
104714,105034,189954,82816.1,79774.9,150459,3.06303,1.17766
112014,103944,199648,83190.1,67789.4,155877,-3.29067,1.1931
125989,122755,199365,158155,125555,174598,46.9398,1.20503
123359,115891,203166,121256,103039,162376,9.06539,1.20691
98290.6,96978.8,186849,81991.1,69671.2,153501,11.5948,1.22255
113222,119841,186935,73493.9,71465.2,146384,6.63799,1.22272
107802,103293,193515,93340,78738.1,159292,9.29073,1.22977
129456,128734,200157,125631,107462,165227,50.809,1.24741
143099,126743,214475,125970,105855,164540,29.7387,1.24953
147299,132230,213953,161500,115952,178895,29.8324,1.25914
122154,102493,201586,128220,96874.9,170622,51.2944,1.26257
110749,118652,185860,98392.4,90351.8,155551,104.572,1.26812
166085,124551,220150,154447,102631,179359,130.846,1.27219
113411,110109,185467,97172,84070.5,159266,129.86,1.27243
118076,116949,198691,100540,84228.1,159921,48.5812,1.28337
81694.7,85902.3,172886,92413.6,84745.6,151953,8.84014,1.30752
117281,117518,193751,112811,102934,155944,37.5639,1.31334
145183,144040,208151,132735,109049,168098,41.373,1.31581
89285.6,88288,173508,102569,86350.4,159150,9.15551,1.3376
159217,135320,218315,110874,82699.1,168605,-4.49863,1.33792
98087.1,105019,179587,81654.6,80233.5,148651,2.17325,1.34054
112889,99339.5,200419,132128,105937,168204,46.9398,1.34748
105032,90658.3,203196,116674,94310.7,168820,52.8151,1.35004
125479,120915,202669,117869,93014.4,165122,27.4493,1.36829
145636,122425,220559,143253,105274,175388,36.3312,1.37943
117310,123383,193543,127909,110868,162504,68.4289,1.38449
97682.2,101452,186340,70200.9,70620.1,141591,37.5639,1.38596
96410.6,94461.8,178842,77851.1,65872,157888,33.5437,1.38732
78082.2,84269,166872,102670,97300.4,152531,9.29073,1.38763
94931.6,89330.2,178663,75828.4,66805.4,152142,29.2239,1.39783
135934,123283,219359,125718,102101,168095,64.8143,1.40061
115624,108276,201524,96515,86565.1,154304,9.87707,1.40647
95337.6,105892,176970,81854.4,79666.3,148653,-2.33262,1.4129
109494,105565,193325,118090,98898.7,161043,21.5128,1.41614
140692,111400,213984,136752,101110,174916,50.4695,1.41917
104436,107585,192566,70381.4,65091.2,148028,22.4361,1.42531
