"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","Time"
100978,104209,176992,85178.5,85029.3,151326,129239,0.00400249
86757.7,93254.9,165103,65967.7,70430.5,143416,37473,0.036773
68052.9,76332.8,152056,43026.7,49141.9,128246,35781.8,0.0446601
83906.5,88254.5,162279,76327.5,85976.8,139233,100037,0.0716771
79945.3,84380.6,168439,52410.2,55024.9,139215,47267.1,0.103081
125944,123257,192334,98987.2,104483,149603,93844.3,0.160079
80604.1,81769.4,166482,105141,100390,154858,45945.6,0.289935
89871.6,92934.8,178451,56969.8,61166.1,135117,61993.2,0.31125
124749,121982,195122,83715.8,79718.5,151865,105604,0.359463
73251.6,78796,155819,83383,93161.3,144440,57120.3,0.399763
70677.5,78381.8,158592,62861,76651.1,135574,43936.2,0.424994
108650,113600,187129,84555.4,87011.2,146717,70793.1,0.473966
113664,111583,190307,80120.6,75002.2,151143,84793.1,0.521401
81576.6,90297,162555,51407.9,56839.4,133219,36377.6,0.522831
88958.3,95311.2,172410,59779.6,64127.5,137905,77895.9,0.575888
120999,120650,186605,89195.1,83642.4,152897,100083,0.575931
69072.9,72791.9,160240,57657.6,66142.7,136271,43350.5,0.682159
114021,109195,184402,120712,117830,155871,121339,0.969081
88604.3,96025,169678,45468.4,51730.8,127908,49805.8,1.01043
74794.3,81788,161263,51165.6,60062.9,131278,50134.6,1.11198
143765,132668,201014,92649.3,87562,157209,64239.8,1.16307
126836,112877,201104,110098,99764.4,159400,111596,1.1751
66754.3,74109.1,151967,38334.7,43428.3,126922,39706.5,1.22697
120540,114161,189552,102234,100251,157562,107938,1.26979
107095,110103,184010,84319.8,94255.3,143445,64432.3,1.30409
133433,128387,200914,104959,99763.2,156164,131426,1.43423
141100,133178,203917,108508,98929.4,158652,109996,1.48362
97539.1,101706,175968,65520.5,69860.8,140751,56077.7,1.597
72424,78637.8,157657,60584.7,67698.1,138964,46348.5,1.62617
97087.8,95636.3,182238,108031,116618,150672,68683.4,1.7185
86386.1,87015.3,169982,113674,116922,152767,68992.7,1.89795
104846,101783,192082,86966,89235.6,151213,56199.2,1.93058
93524,96002.9,175347,70141.8,72882.8,140795,89808.3,1.9412
85614.8,92553.2,176358,89392.9,98111.2,144448,68885.9,1.95237
107492,109620,181231,83564.6,86215.1,151316,90646,1.95681
88116.7,89886,182745,77588.7,83322.3,144693,36515.1,1.98397
120370,123046,192050,122018,123731,155458,115864,2.02134
82207.8,82857,169258,117933,120415,156337,59805.9,2.0412
78777.8,87191.4,163526,49206.3,55693.1,130771,43606.5,2.10098
101377,105530,179733,91387.2,95007.5,150962,71387,2.10633
77913.5,85457.5,165861,79171,88669.8,141099,50378.7,2.12557
80358.3,88795.1,170330,54268.2,62402.2,131800,37878.3,2.15695
88741.6,93542.3,172522,61246.7,66389,141591,46701.5,2.16111
71882.2,79389.5,156168,94032.4,101884,148198,35625.4,2.16973
75191.9,82734.1,158469,44403.3,49633,130720,38188.9,2.17625
87682,88809.1,174910,81470.4,86770.5,145237,29123.6,2.19266
85254,88019.7,172774,107224,117582,148681,84793.1,2.20138
80372.6,88209.7,162892,47158.8,54737.4,131581,46731.1,2.20482
67766.2,65454.8,155409,85795.4,91632.9,148810,11765.4,2.2132
83772.1,87665.8,171519,89097.4,97846.4,145940,47997.3,2.23083
70560.6,79696.3,156658,40615.3,46423.3,127993,48567.5,2.24337
100466,106867,181205,67300.9,70779.2,144475,52478.4,2.26119
84904.1,85258.4,170214,80817.9,89030,140885,72449.1,2.28242
94372.7,99574.1,183048,60127.7,65224.9,138739,62053.6,2.3004
