"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","PE-A","Time"
133098,124352,196484,108378,84672.6,162524,29892.3,0.0166772
102627,100195,183031,80671.8,71469.3,156091,16840.2,0.0199656
83778.1,89597.8,166255,59516.8,57620.1,138685,29328.2,0.0222507
102967,101003,179543,96925.4,83653.5,156115,21207,0.0226498
104478,94219.1,179901,131915,111479,161173,27007.9,0.0261887
135443,124580,203626,108836,85807.2,177367,21053.1,0.027169
86275.1,84429.6,169726,56348.6,50645.1,138045,53329.4,0.0290488
104404,97667.6,179183,88091.4,74377.3,154880,24189.6,0.0367167
80562.1,82373.1,175690,52420.6,49995.9,141875,39805.2,0.0404454
74187.2,73848.1,160954,60795.8,57501,138974,13719.1,0.0473423
102768,98079.8,176610,80203.7,72721.6,148203,62172.8,0.0690447
120208,115573,192726,99844.5,83858.8,159460,46255.2,0.0723966
137041,130183,203487,98239.5,80818.4,156106,11884.3,0.0724264
104383,102963,176512,96851.2,79048.9,158121,13103.3,0.0816236
161042,126016,215540,108409,85614.9,164964,34828,0.0830349
76815.8,81038.5,159184,50008,48357.7,134212,19367.1,0.0841407
99773.5,89109.3,174662,74957.3,57807.2,151108,12737.2,0.0889988
80652.8,83529,162495,49429.4,46368.2,135278,15388.8,0.0967135
104389,97289,183893,104109,90028.2,158898,39752.1,0.100414
103512,101569,171564,85410.4,75159.1,155018,22528.7,0.108645
157013,140522,207798,107256,86160.6,162228,26672,0.109267
102182,96654.5,177443,70426.3,59881.3,145069,43396,0.117961
88581.7,89613.1,173452,69088.9,62328.9,144735,13657.7,0.132659
89507,89665.9,175494,70211.4,63018.1,146556,28683.5,0.141276
128977,101366,203697,86311.4,62424.6,158416,18364.6,0.170879
139099,129659,198685,107306,86487.3,161445,18231.6,0.172324
85146.1,87238,168934,94352.8,89052.8,150755,24787.1,0.176616
106074,92367.4,178795,69637.3,58187.5,143529,12074.7,0.180512
95728.6,93049.5,174782,59121.9,54376.7,142194,26838.2,0.180678
133785,120476,193277,133066,111017,164764,31542.9,0.18872
110677,105930,192196,89059.3,75309,152828,37278.5,0.196561
99733.9,95107.9,174893,69233.8,62307.2,145609,21773.8,0.205245
94631.7,94560,172274,96014.4,87191.9,152391,27561.5,0.208441
133991,115255,206219,110821,84554.3,165086,24375.3,0.2196
102656,102650,181350,95238,79549.3,155053,12373.5,0.228433
128906,122580,196556,111094,91939.7,158392,50164.4,0.232601
134235,116644,199847,126824,98262.3,166165,29338,0.239371
96888.4,83966.9,179832,78906.4,68133.1,150894,22640.8,0.240809
93697.3,92167.4,173250,89344.9,77109.3,155531,27490.2,0.242124
128240,131847,196659,97694.2,85022.9,152733,21118.3,0.249515
104835,103904,185960,108459,92723.6,166536,37236.7,0.250693
154614,131190,215819,122120,97941.8,164455,27534.4,0.253039
112701,112950,179172,88364.4,77541,153713,28780.1,0.258454
113197,107608,192433,87260.2,70810.5,153142,20912.6,0.261756
105016,103190,181808,71238.8,63261.1,146293,25461.8,0.26846
108337,110544,180758,134371,124653,155201,18603,0.275997
87478.7,86536.9,181964,63152.8,58026.3,143350,29818.4,0.276945
103448,101853,184058,59378,52613,136511,17991,0.276983
121781,112916,199219,88376.3,74147.1,155328,34000.3,0.282486
100655,103080,176637,66875.9,61610.6,144412,21046.6,0.283141
83925.3,84812.2,162005,92698.6,84301.5,154869,41180.2,0.305439
124975,116525,192447,102554,84253.8,163180,54865.6,0.312777
129816,116595,193004,78495.9,65734.1,149539,37633.8,0.312946
101207,98390.1,171771,79754.1,71697,148081,15854.5,0.313984
101747,94092.9,184192,63346.3,52797.6,146543,24913.8,0.320748
130320,118154,197565,122032,97727.1,162885,46972,0.322802
110818,108250,190339,113919,97291.7,158381,21574.5,0.326124
107174,103331,176837,111654,99465.6,159106,20121.9,0.332429
109369,106580,179815,109382,94470.2,155386,22849.5,0.341667
133754,121214,196284,111445,91707.8,159576,35094.4,0.346739
90652.2,93424.2,168875,74363.5,72332.1,144115,12660.5,0.351944
145966,133841,203043,138052,112786,164889,53280.5,0.356172
108896,91560.1,192989,140374,108289,169709,34828,0.373868
78789.7,81409.6,167807,43322.1,40323.3,132110,8666.2,0.379118
108394,109342,173038,88184.9,75335.6,152502,20375.6,0.37921
140909,123030,207682,109147,87684.5,163246,73906,0.393655
92838.8,91973.3,172476,56077.3,50908,144333,22649.6,0.410569
105252,102899,179909,94162.5,86200.8,150869,23856.5,0.420146
101353,97976.2,175067,76728.7,66098.8,152723,28863.7,0.420846
