"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","PE-A","Time"
167403,140241,218274,144902,101040,179197,56647.3,0.024284
150389,141903,209496,149165,125352,173181,97430.6,0.0678652
163972,144326,215549,169511,138398,171115,116487,0.0776757
118652,108112,199869,138711,114931,170420,7145.74,0.0829107
160566,148210,213941,114629,98152.7,165168,13486.2,0.086869
145876,137345,212634,135275,108424,170413,58741.9,0.136619
108405,103334,200842,120168,97228.7,163110,13269.8,0.139794
180145,141114,230490,174729,123724,182633,15474.8,0.326111
109357,106769,189867,119498,106259,162483,211453,0.550295
92843.8,100794,174815,86741.5,84850.1,153289,690.332,0.558387
103169,93989.2,184044,87998.5,78973.3,152953,104860,0.584358
107751,112450,179671,110187,104893,156060,45520.4,0.638106
101145,107025,188435,106705,100353,156468,3426.08,0.657291
163618,152417,220296,164693,132297,173454,191538,0.675381
110395,99663,192849,139994,117075,168635,122378,0.676913
124903,123815,203853,123937,116401,157641,30824,0.679178
152712,139567,211052,144647,118155,171796,25644.4,0.800617
133599,117564,195708,121267,96048.8,173720,63482,0.803126
154477,145430,213350,140770,114634,169777,14610.9,1.04647
127725,117810,204201,149560,127784,162864,19333.2,1.15393
153507,131350,224736,155404,113882,180834,148019,1.15932
163724,148636,215842,147676,114825,174948,23757.8,1.42707
142296,118629,206273,185571,125581,190077,27685,1.44928
89927.3,87005.9,172971,108245,92741.6,162085,79891.7,1.46963
155092,143436,214389,149857,128996,171776,121589,1.58158
137387,103046,207764,185271,131937,189893,13712.3,1.72995
173289,150814,223585,147407,116418,174847,143861,1.79
79790.8,85151.5,176818,89063.7,86554.8,149098,136811,1.80976
188248,148059,231172,183011,124575,185493,248999,1.88958
116745,117019,185689,115352,95743.1,164863,47075.2,1.97288
131814,117747,217225,136825,118580,168549,71832.8,2.16864
99788,107113,185746,91505.7,92265.9,145616,8311.51,2.17841
115612,111509,196942,112018,94988,162307,17365.1,2.21009
129232,113330,205645,125720,108440,172768,22316.3,2.22658
175694,149800,226932,178841,133140,183190,62619.1,2.23019
