"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","SELE","Time"
190474,126968,234624,147372,101218,179203,410.402,0.0366645
121303,111025,201087,97692.8,68933.1,168283,183.17,0.0896126
124435,130336,198750,96861.5,88795.8,155525,67.6889,0.0932241
141980,126793,217893,108412,82514.8,168392,58.4482,0.112421
164635,151717,223308,163253,128594,172843,125.27,0.114925
90475.7,87531.3,181333,125208,110867,161703,80.7296,0.121699
121173,111945,201230,151490,121330,172772,136.97,0.137603
157828,145277,213542,127212,102725,169334,63.8992,0.16906
96235.8,101085,183729,72587.7,68496.6,146062,1.19633,0.219414
108872,106021,186455,99290.2,82840,162161,27.6825,0.3167
137598,131679,205681,99393.5,83622.6,158288,49.2742,0.319293
161826,149470,215355,95673.5,76065.9,161802,70.7789,0.338545
124717,120283,196102,137830,113452,165825,106.039,0.340767
130781,121719,210283,165852,133132,173678,110.263,0.415124
143568,138156,214039,118910,97688.1,164216,79.5576,0.416469
91607.7,98043.1,175583,79826.8,81348.9,145801,3.46395,0.439819
149638,133917,213895,140933,108948,172196,164.008,0.478249
99309.8,95793.8,179684,73140.9,62853.5,152651,10.8257,0.506094
138118,140255,205973,117758,96877.7,167737,77.8642,0.513166
132797,126235,206842,115812,95910.5,163030,141.076,0.520613
70888,78758.5,162631,51970.9,53069.3,133458,17.1939,0.53653
94845.1,104233,186945,77154.2,73099.4,145984,21.7435,0.591927
104046,104916,185693,113057,96644.8,163038,39.7511,0.722433
128892,117284,210515,107923,89230.3,169072,39.6558,0.753318
113106,99181.6,193713,133675,119830,163219,2672.56,0.830946
108939,116219,190552,84405,81087.2,149643,18.9816,0.970936
116489,114836,199457,104089,90084,159290,9.87707,1.1067
141939,118361,216174,132945,107149,172299,182.493,1.13845
140304,125285,206194,112360,95145.2,169564,63.3326,1.20517
111167,118630,182566,88477.6,85699.4,148413,7.35602,1.34004
72141.6,79835.4,168257,62683,67656.8,138213,100.428,1.36175
163598,148566,216668,163117,132666,174172,287.564,1.47951
115922,115700,193093,76912.2,67630,153405,18.8438,1.67179
172830,147259,226853,154432,117779,176145,176.398,1.72957
106836,104932,186155,97678.5,91834.7,152221,10.1931,1.77811
116655,118099,194360,87270.5,76716.6,155273,56.1348,1.89761
