"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","SELE","Time"
76059.2,64823.8,160443,73195.1,58067,153007,1103.98,0.00361885
81124,78300.2,165769,51324.8,46694,133954,62.2653,0.0126023
122912,110779,197189,91175.9,70536.3,159651,2483.31,0.0197446
138568,116829,201341,129846,99361.6,166875,1864.61,0.0283753
115439,109293,179504,83399.6,72412.9,144483,4976.88,0.0363829
104617,100352,184158,89145.6,74997.2,147487,6589.77,0.0396746
96879.3,93675,175884,69096.5,62309.4,142578,522.689,0.0424402
113136,105818,183730,71580.5,59411,145449,4332.56,0.0515432
114938,101446,194403,65618.3,55640.6,150495,1004.08,0.0557869
125125,114172,193194,95745.1,78297.1,155856,10478.8,0.0566815
96019.4,94443.5,174469,54265.6,48118.9,128821,4580.39,0.0670493
86189.7,85641.6,159794,61001.8,55628.9,137897,403.114,0.0712157
101017,99909.8,183314,74284.9,63451.4,145552,1097.65,0.0717202
89348.4,77601.3,174878,88067.5,73758.2,152922,2550.95,0.0748615
101490,106527,171774,60053.5,57889.4,135741,1597.25,0.0822021
108580,105038,189767,101172,98518.9,144979,607.318,0.0823582
110871,103822,192193,65403.4,56158.3,140496,1628.21,0.0830229
88945.9,85085.6,167566,60924.5,52489.7,139634,848.33,0.0876979
96022.2,82627.1,176621,87942.3,67067.9,159311,1389.63,0.0926415
110408,101092,182916,68730.6,57421.6,148134,104.392,0.0967776
130924,120292,196993,116686,103232,155402,1042.35,0.100744
89194.9,86347,170427,77501.9,68765.4,142063,759.001,0.100979
121284,118118,190121,91938.5,80865.8,152379,1393.25,0.103041
125519,115451,194041,77625.8,59710.5,152849,424.836,0.104569
116623,103468,196192,93416.5,79345.5,153896,1552.66,0.113383
79904.1,82152.1,165661,57441,53215.6,136118,184.54,0.115626
136538,127409,199062,112705,91476,157217,3653.58,0.119475
68452.2,66607.1,155683,58307.9,55763.6,138034,31.5484,0.122205
124286,107846,198341,88809.5,77410.8,154693,2375.73,0.122574
106313,98752.1,185771,105284,83871.9,159615,460.745,0.13419
80779.6,79691,164886,63936.3,56612.1,141722,793.612,0.134577
102279,96387.7,180042,88150.3,80294.2,150829,1407.35,0.134923
93494.9,91018.1,177268,64121.6,57349.1,148081,970.914,0.137599
99743.5,93632.7,176396,74480.1,66916.6,145844,2484.58,0.142301
100961,97477.3,176854,94505.2,92178.4,148515,3339.91,0.151725
108585,108492,183082,77279.1,70034.7,143576,4872.37,0.152523
132759,123840,199703,107628,87071.5,156183,3605.91,0.155807
119899,109993,193377,92498.6,79793.3,146848,2295.12,0.156203
108863,98905.9,189057,75965.9,61512.9,151205,294.632,0.163037
134569,116547,203783,99405.5,75796.6,157254,2857.93,0.165556
135907,116128,201367,168610,130615,169520,2690.71,0.168056
104547,99160.1,177558,80742,67619.3,152416,792.482,0.172495
112927,96628,184243,136128,110304,162492,11539.1,0.176072
92443.6,82172.6,172184,67220.4,57951.8,148629,64.0641,0.182946
109096,106727,192845,81989.8,71829.4,147632,2343.42,0.192845
