Samples	baseline	FACS_Top
HI.1.1.NGS_merged.Krab_ICAM_Bottom_134_R1.fastq.gz	1	0
HI.5042.001.NGS-Lib-Rev--1.Krab_Top_Icam_59_R1.fastq.gz	1	1
HI.5042.001.NGS-Lib-Rev--2.Krab_bottom_Icam_60_R1.fastq.gz	1	0
HI.5042.006.NGS-Lib-Rev--5.Krab_Top_Icam_73_R1.fastq.gz	1	1
HI.5042.006.NGS-Lib-Rev--6.Krab_bottom_Icam_74_R1.fastq.gz	1	0
HI.5102.008.NGS-Lib-Rev--7.Krab_ICAM_Top_133_R1.fastq.gz	1	1
HI.5143.002.NGS-Lib-Rev--5.Krab_ICAM_Top_139_R1.fastq.gz	1	1
HI.5143.002.NGS-Lib-Rev--6.Krab_ICAM_Bottom_140_R1.fastq.gz	1	0
HI.5143.003.NGS-Lib-Rev--3.Krab_ICAM_Top_145_R1.fastq.gz	1	1
HI.5143.003.NGS-Lib-Rev--4.Krab_ICAM_Bottom_146_R1.fastq.gz	1	0
