target_gene,sample,control,r1,r2,r3
CDKN1A,NI,NI,1,1,1
CDKN1A,Empty,pos,0.60087,0.57505,1.00322
CDKN1A,Empty,neg,0.70138,0.59458,0.73148
CDKN1A,FES,pos,0.56023,0.56478,0.53633
CDKN1A,FES,neg,0.41383,0.55387,0.54703
CDKN1A,FURIN,pos,0.5692,0.95502,0.61244
CDKN1A,FURIN,neg,0.47476,1.08001,0.4827
CDKN1A,CCDC92,pos,0.84774,2.46378,1.31667
CDKN1A,CCDC92,neg,0.4706,1.18665,0.70719
ICAM1,NI,NI,1,1,1
ICAM1,Empty,pos,0.30904,1.33824,0.97806
ICAM1,Empty,neg,0.35222,1.53594,0.88737
ICAM1,FES,pos,0.28174,0.8734,0.61754
ICAM1,FES,neg,1.31722,1.33689,0.9867
ICAM1,FURIN,pos,0.44499,1.84366,1.58262
ICAM1,FURIN,neg,0.68624,1.06937,1.06612
ICAM1,CCDC92,pos,1.95257,2.48264,1.39693
ICAM1,CCDC92,neg,1.16993,0.81969,0.94179
FES,NI,NI,1,1,1
FES,Empty,pos,0.80266,0.92395,1.21614
FES,Empty,neg,0.90784,0.9987,0.81052
FES,FES,pos,68.54256,105.59519,87.0321
FES,FES,neg,1.5557,2.09622,2.0791
FES,FURIN,pos,0.73785,0.973,0.77388
FES,FURIN,neg,0.64738,1.25111,0.84552
FES,CCDC92,pos,0.61755,1.48224,0.87905
FES,CCDC92,neg,0.71424,1.19414,1.14495
FURIN,NI,NI,1,1,1
FURIN,Empty,pos,0.7778,0.86006,1.35634
FURIN,Empty,neg,0.87467,0.90491,0.99353
FURIN,FES,pos,0.83874,0.96152,1.04854
FURIN,FES,neg,0.7447,0.85101,0.90381
FURIN,FURIN,pos,15.01457,19.64352,21.55711
FURIN,FURIN,neg,0.99382,1.17125,1.09523
FURIN,CCDC92,pos,0.82124,1.12445,0.96096
FURIN,CCDC92,neg,0.8528,1.03671,0.92244
CCDC92,NI,NI,1,1,1
CCDC92,Empty,pos,0.72389,0.89073,1.00419
CCDC92,Empty,neg,0.77734,0.76284,0.85611
CCDC92,FES,pos,0.65358,0.59408,0.75739
CCDC92,FES,neg,0.55993,0.6322,0.70193
CCDC92,FURIN,pos,0.8357,0.70167,0.80008
CCDC92,FURIN,neg,0.66181,0.62585,0.74221
CCDC92,CCDC92,pos,37.05279,49.40312,25.74418
CCDC92,CCDC92,neg,0.93156,1.15167,1.22654
