filename_prefix	File	HI	Run.x	Lane	label	assay	facs	protein	read	filename_ending	Reads	Mapped	Percentage	TotalsgRNAs	Zerocounts	GiniIndex	NegSelQC	NegSelQCPval	NegSelQCPvalPermutation	NegSelQCPvalPermutationFDR	NegSelQCGene	file_name	Nanuq_project	sample_nr	library_name	Date	include	Cas_variant	FACS_group	FACS_target	replicate	virus_batch	group	batch	QC	QC_comment	sequencing_lane	nr_reads	nr_bases	beluga_raw_data	beluga_QC	% Duplicate	Barcode	Run.y	sequencing_type	multiplex_keys	DNA_Conc._(ng/ul)	Primer_used	gel_purify	PCR_comments	gini_index_QC
HI.1.1.NGS_merged.Cas_Bottom_Ca_54	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/merged_fastq/merged_files/HI.1.1.NGS_merged.Cas_Bottom_Ca_54_R1.fastq.gz	HI	1	1	NGS_merged	Cas	Bottom	Ca	54	fastq	17197719	8410588	0.4891	8051	32	0.09159	0	1	1	1	0	HI.1.1.NGS_merged.Cas_Bottom_Ca_54_R1.fastq.gz	Projet Endoscreen	54	Cas_Bottom_Ca_54	merge	Y	CAS9	Bottom	Ca	r1	endo_1a	Calcium_signaling	merge			merge					NA		NA			NA				pass
HI.1.1.NGS_merged.Cas_CA_Bottom_120	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/merged_fastq/merged_files/HI.1.1.NGS_merged.Cas_CA_Bottom_120_R1.fastq.gz	HI	1	1	NGS_merged	Cas	Ca	Bottom	120	fastq	3023017	1284749	0.425	8051	23	0.1049	0	1	1	1	0	HI.1.1.NGS_merged.Cas_CA_Bottom_120_R1.fastq.gz	Projet Endoscreen	120	Cas_CA_Bottom_120	merge	Y	CAS9	Bottom	Ca	r3	endo_1c		merge			merge					NA		NA			NA				pass
HI.1.1.NGS_merged.Cas_CA_Bottom_124	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/merged_fastq/merged_files/HI.1.1.NGS_merged.Cas_CA_Bottom_124_R1.fastq.gz	HI	1	1	NGS_merged	Cas	Ca	Bottom	124	fastq	5029798	2063511	0.4103	8051	13	0.09346	0	1	1	1	0	HI.1.1.NGS_merged.Cas_CA_Bottom_124_R1.fastq.gz	Projet Endoscreen	124	Cas_CA_Bottom_124	merge	Y	CAS9	Bottom	Ca	r2	endo_1b		merge			merge					NA		NA			NA				pass
HI.1.1.NGS_merged.Cas_CA_Top_119	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/merged_fastq/merged_files/HI.1.1.NGS_merged.Cas_CA_Top_119_R1.fastq.gz	HI	1	1	NGS_merged	Cas	Ca	Top	119	fastq	2677589	1180698	0.441	8051	19	0.1028	0	1	1	1	0	HI.1.1.NGS_merged.Cas_CA_Top_119_R1.fastq.gz	Projet Endoscreen	119	Cas_CA_Top_119	merge	Y	CAS9	Top	Ca	r3	endo_1c		merge			merge					NA		NA			NA				pass
HI.1.1.NGS_merged.Cas_CA_Top_123	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/merged_fastq/merged_files/HI.1.1.NGS_merged.Cas_CA_Top_123_R1.fastq.gz	HI	1	1	NGS_merged	Cas	Ca	Top	123	fastq	2301903	967382	0.4203	8051	21	0.103	0	1	1	1	0	HI.1.1.NGS_merged.Cas_CA_Top_123_R1.fastq.gz	Projet Endoscreen	123	Cas_CA_Top_123	merge	Y	CAS9	Top	Ca	r2	endo_1b		merge			merge					NA		NA			NA				pass
HI.1.1.NGS_merged.Cas_NO_Bottom_128	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/merged_fastq/merged_files/HI.1.1.NGS_merged.Cas_NO_Bottom_128_R1.fastq.gz	HI	1	1	NGS_merged	Cas	NO	Bottom	128	fastq	3233502	1313211	0.4061	8051	26	0.1076	0	1	1	1	0	HI.1.1.NGS_merged.Cas_NO_Bottom_128_R1.fastq.gz	Projet Endoscreen	128	Cas_NO_Bottom_128	merge	Y	CAS9	Bottom	NO	r4	endo_1a		merge			merge					NA		NA			NA				pass
HI.1.1.NGS_merged.Cas_NO_Top_115	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/merged_fastq/merged_files/HI.1.1.NGS_merged.Cas_NO_Top_115_R1.fastq.gz	HI	1	1	NGS_merged	Cas	NO	Top	115	fastq	19914441	9706895	0.4874	8051	8	0.07113	0	1	1	1	0	HI.1.1.NGS_merged.Cas_NO_Top_115_R1.fastq.gz	Projet Endoscreen	115	Cas_NO_Top_115	merge	Y	CAS9	Top	NO	r2	endo_1b	NO	merge			merge					NA		NA			NA				pass
HI.1.1.NGS_merged.Cas_NO_Top_127	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/merged_fastq/merged_files/HI.1.1.NGS_merged.Cas_NO_Top_127_R1.fastq.gz	HI	1	1	NGS_merged	Cas	NO	Top	127	fastq	2456576	986262	0.4015	8051	22	0.1085	0	1	1	1	0	HI.1.1.NGS_merged.Cas_NO_Top_127_R1.fastq.gz	Projet Endoscreen	127	Cas_NO_Top_127	merge	Y	CAS9	Top	NO	r4	endo_1a		merge			merge					NA		NA			NA				pass
HI.1.1.NGS_merged.Cas_top_SELE_15	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/merged_fastq/merged_files/HI.1.1.NGS_merged.Cas_top_SELE_15_R1.fastq.gz	HI	1	1	NGS_merged	Cas	top	SELE	15	fastq	9205981	5095653	0.5535	8051	21	0.08902	0	1	1	1	0	HI.1.1.NGS_merged.Cas_top_SELE_15_R1.fastq.gz	Projet Endoscreen	15	Cas_top_SELE_15	merge	Y	CAS9	Top	SELE	r1	endo_1b	adhesion_molecules	merge			merge					NA		NA			NA				pass
HI.1.1.NGS_merged.Krab_ICAM_Bottom_134	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/merged_fastq/merged_files/HI.1.1.NGS_merged.Krab_ICAM_Bottom_134_R1.fastq.gz	HI	1	1	NGS_merged	Krab	ICAM	Bottom	134	fastq	27953926	12190871	0.4361	8051	9	0.06876	0	1	1	1	0	HI.1.1.NGS_merged.Krab_ICAM_Bottom_134_R1.fastq.gz	Projet Endoscreen	134	Krab_ICAM_Bottom_134	merge	Y	KRAB	Bottom	ICAM	r3	endo_1b		merge			merge					NA		NA			NA				pass
