Locus	sgRNA	Beta	zscore	pvalue	FDR	wald_pvalue	wald_fdr	Cas_variant	FACS_protein	sgRNA_group
rs2052074	5	-0.070838	-0.94148	0.45885	0.94101	0.34646	0.80313	Cas9	Ca	CAD_loci
rs35739466	5	0.11037	0.99357	0.28098	0.88955	0.32043	0.78859	Cas9	Ca	CAD_loci
rs357476	2	-0.11938	-1.3937	0.41249	0.93841	0.1634	0.68536	Cas9	Ca	CAD_loci
rs2296285	3	-0.25206	-2.194	0.0421	0.712	0.028237	0.59361	Cas9	Ca	CAD_loci
rs216204	3	0.18074	1.1943	0.18212	0.84615	0.23235	0.72704	Cas9	Ca	CAD_loci
rs3753292	5	-0.0061258	-0.10499	0.94891	0.99504	0.91638	0.9828	Cas9	Ca	CAD_loci
rs6503321	1	-0.15519	-1.1031	0.45743	0.94101	0.26997	0.75996	Cas9	Ca	CAD_loci
rs11057840	5	0.054513	0.74735	0.58893	0.96737	0.45485	0.84265	Cas9	Ca	CAD_loci
rs2681472	4	-0.0782	-1.0395	0.45128	0.94101	0.29856	0.77253	Cas9	Ca	CAD_loci
rs10832014	3	-0.038842	-0.59172	0.75118	0.99068	0.55404	0.89271	Cas9	Ca	CAD_loci
rs71962021	5	-0.289	-3.3205	0.0033113	0.25	0.0008987	0.26485	Cas9	Ca	CAD_loci
rs2644135	5	0.010321	0.13458	0.92053	0.992	0.89294	0.97677	Cas9	Ca	CAD_loci
rs2410625	5	0.069265	0.83031	0.49622	0.95364	0.40636	0.83638	Cas9	Ca	CAD_loci
rs2819346	5	-0.10107	-1.515	0.28524	0.89089	0.12978	0.67981	Cas9	Ca	CAD_loci
rs2072141	5	-0.049736	-0.62553	0.61306	0.96863	0.53162	0.88379	Cas9	Ca	CAD_loci
rs2458993	3	-0.033763	-0.36043	0.7824	0.992	0.71853	0.9631	Cas9	Ca	CAD_loci
rs894211	5	-0.05315	-0.97728	0.58704	0.96734	0.32843	0.79161	Cas9	Ca	CAD_loci
rs35952313	2	0.41096	2.0022	0.029328	0.65957	0.045262	0.59361	Cas9	Ca	CAD_loci
rs62233132	5	0.10843	1.4374	0.28855	0.89089	0.1506	0.68536	Cas9	Ca	CAD_loci
rs7934154	3	0.035016	0.30335	0.77483	0.992	0.76163	0.96462	Cas9	Ca	CAD_loci
rs201616013	1	0.093703	0.86404	0.64096	0.9728	0.38757	0.82632	Cas9	Ca	CAD_loci
rs17115100	5	-0.03238	-0.61578	0.75024	0.99068	0.53804	0.88751	Cas9	Ca	CAD_loci
rs10743118	3	0.0097105	0.13085	0.92668	0.992	0.8959	0.97677	Cas9	Ca	CAD_loci
rs62233071	4	0.0096839	0.11557	0.93094	0.992	0.908	0.98235	Cas9	Ca	CAD_loci
rs11057408	3	-0.16579	-2.0503	0.16131	0.82742	0.040337	0.59361	Cas9	Ca	CAD_loci
rs5760293	3	0.071577	0.88444	0.56291	0.96141	0.37646	0.82215	Cas9	Ca	CAD_loci
rs7416415	4	-0.035981	-0.36498	0.73273	0.99068	0.71513	0.9631	Cas9	Ca	CAD_loci
